Screen Time,Exercise Time,Exercise Type,Date,Weather,Time of Day
132,120,Gym,4-28-2026,Sunny,Evening
181,129,Gym,4-27-2026,Cloudy,Night
188,95,Gym,5-2-2026,Cloudy,Midday
239,0,,5-3-2026,Cloudy,
184,60,Gym,5-6-2026,Sunny,Morning
175,96,Gym + Run,5-18-2026,Sunny,Midday
197,0,,5-25-2026,Sunny,
117,0,,5-26-2026,Cloudy,
